Time (arb. units) (msecs)	Current (microA)	Voltage (microV)
52601884	1.0000000000	118.393750
52602978	0.9600000000	113.709330
52604070	0.9200000000	108.983940
52605160	0.8800000000	104.279730
52606252	0.8400000000	 99.549980
52607343	0.8000000000	 94.868180
52608526	0.7600000000	 90.149670
52609625	0.7200000000	 85.454440
52610715	0.6800000000	 80.698780
52611807	0.6400000000	 76.025060
52612903	0.6000000000	 71.283300
52613997	0.5600000000	 66.576050
52615090	0.5200000000	 61.844860
52616181	0.4800000000	 57.132150
52617272	0.4400000000	 52.407310
52618365	0.4000000000	 47.699950
52619457	0.3600000000	 42.998930
52620569	0.3200000000	 38.254300
52621662	0.2800000000	 33.555350
52622756	0.2400000000	 28.820140
52623849	0.2000000000	 24.106880
52625015	0.1600000000	 19.393820
52626105	0.1200000000	 14.661450
52627198	0.0800000000	  9.966110
52628283	0.0400000000	  5.242470
52629374	-0.0000000000	  0.527690
52630466	-0.0400000000	 -4.177920
52631561	-0.0800000000	 -8.900250
52632653	-0.1200000000	-13.619640
52633747	-0.1600000000	-18.320770
52634844	-0.2000000000	-23.055900
52635938	-0.2400000000	-27.731140
52637031	-0.2800000000	-32.457290
52638123	-0.3200000000	-37.158420
52639216	-0.3600000000	-41.861760
52640308	-0.4000000000	-46.575780
52641402	-0.4400000000	-51.284120
52642495	-0.4800000000	-56.013760
52643590	-0.5200000000	-60.718720
52644685	-0.5600000000	-65.428830
52645776	-0.6000000000	-70.153450
52646869	-0.6400000000	-74.871730
52648040	-0.6800000000	-79.597330
52649183	-0.7200000000	-84.287010
52650277	-0.7600000000	-88.989890
52651373	-0.8000000000	-93.679230
52652465	-0.8400000000	-98.435400
52653558	-0.8800000000	-103.135660
52654654	-0.9200000000	-107.860630
52655751	-0.9600000000	-112.583500
52656851	-1.0000000000	-117.317510
52657945	-0.9600000000	-112.580550
52659043	-0.9200000000	-107.891980
52660136	-0.8800000000	-103.148550
52661232	-0.8400000000	-98.458340
52662326	-0.8000000000	-93.744210
52663418	-0.7600000000	-89.021900
52664511	-0.7200000000	-84.315410
52665593	-0.6800000000	-79.590450
52666684	-0.6400000000	-74.879590
52667775	-0.6000000000	-70.181630
52668871	-0.5600000000	-65.440520
52669972	-0.5200000000	-60.723630
52671066	-0.4800000000	-56.015510
52672163	-0.4400000000	-51.277460
52673260	-0.4000000000	-46.578950
52674356	-0.3600000000	-41.857720
52675457	-0.3200000000	-37.126090
52676555	-0.2800000000	-32.426590
52677651	-0.2400000000	-27.700890
52678748	-0.2000000000	-23.017990
52679847	-0.1600000000	-18.297510
52680946	-0.1200000000	-13.582500
52682045	-0.0800000000	 -8.853820
52683146	-0.0400000000	 -4.142530
52684245	-0.0000000000	  0.573460
52685343	0.0400000000	  5.300800
52686440	0.0800000000	 10.016900
52687535	0.1200000000	 14.738240
52688630	0.1600000000	 19.450620
52689727	0.2000000000	 24.171330
52690809	0.2400000000	 28.913860
52691906	0.2800000000	 33.621330
52693003	0.3200000000	 38.339610
52694101	0.3600000000	 43.059000
52695197	0.4000000000	 47.777290
52696296	0.4400000000	 52.497100
52697403	0.4800000000	 57.228490
52698502	0.5200000000	 61.942180
52699598	0.5600000000	 66.635800
52700696	0.6000000000	 71.355170
52701792	0.6400000000	 76.143800
52702891	0.6800000000	 81.038160
52703989	0.7200000000	 85.625270
52705088	0.7600000000	 90.187250
52706185	0.8000000000	 94.938200
52707357	0.8400000000	 99.648620
52708455	0.8800000000	104.356410
52709552	0.9200000000	108.995190
52710651	0.9600000000	113.741330
